"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"12897",25,"rotating, came off the guardrail and struck it again with its back right side.",75,117,"H",4,"117H"
"12898",25,"V1 was norththbound on an exit ramp approaching a highway interchange.  V2 was",75,118,"C",1,"118C"
"12899",25,"eastbound approaching the same interchange.  V1 turned left at the interchange.",75,118,"C",2,"118C"
"12900",25,"V2 went straight.  The front of V2 struck the left side of V1.  After this",75,118,"C",3,"118C"
"12901",25,"impact, V1 rotated onto the raised center median.  The right side of V1 struck a",75,118,"C",4,"118C"
"12902",25,"breakaway sign on the median.",75,118,"C",5,"118C"
"12903",25,"V1, V2, V3, and V4 were southbound on an undivided roadway.  V2, V3, and V4",75,119,"E",1,"119E"
"12904",25,"stopped in traffic that was backed up from an intersection 0.3 miles ahead.  The",75,119,"E",2,"119E"
"12905",25,"front of V1 struck the back of V2, pushing it forward.  The front of V2 struck",75,119,"E",3,"119E"
"12906",25,"the back of V3, pushing it forward.  The front of V3 struck the back of V4.",75,119,"E",4,"119E"
"12907",25,"Vehicle #1 was traveling west negotiating a curve to the right and Vehicle #2",75,120,"G",1,"120G"
"12908",25,"was traveling east negotiating a curve to the left.  V1 lost control on the",75,120,"G",2,"120G"
"12909",25,"snow-covered road, entered the eastbound lane, and the front of V1 contacted the",75,120,"G",3,"120G"
"12910",25,"left side of V2.",75,120,"G",4,"120G"
"12911",25,"V1 was northbouund.  V2 was legally parked on the right side of the road facing",75,121,"H",1,"121H"
"12912",25,"northbound.  The front of V1 struck the rear of V2.",75,121,"H",2,"121H"
"12913",25,"V1 was northbound on a snowy road.  V1 started to yaw counterclockwise.  It",75,122,"D",1,"122D"
"12914",25,"yawed into the left run lane and then across a crossover.  V1's undercarriage",75,122,"D",2,"122D"
"12915",25,"struck the curb as it traveled onto the depressed grass median on the north side",75,122,"D",3,"122D"
"12916",25,"of the crossover.  After this impact, V1's right side struck a delineator and",75,122,"D",4,"122D"
"12917",25,"then a sign on the median.",75,122,"D",5,"122D"
"12918",25,"V1 was eastbound approaching an intersection.  V2 was westbound approaching the",75,123,"H",1,"123H"
"12919",25,"same intersection.  V1 turned left at the intersection.  V2 drove straight.  The",75,123,"H",2,"123H"
"12920",25,"front of V1 struck the front of V2.",75,123,"H",3,"123H"
