"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"3094",1,NA,0,158,"172F",172,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,78,290.724,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",2,274,25
"3095",1,NA,0,161,"173G",173,164,0,0,8,9,13,22,0,-172,97,1,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,30,NA,78,441.015,NA,NA,NA,NA,NA,NA,NA,NA,"B","","G","E","","W","",2,325,25
"3096",2,NA,0,162,"174H",174,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,172,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,78,707.545,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","W","",3,307,25
"3097",2,1,0,175,"175C",175,149,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"T","R",NA,NA,NA,NA,1,NA,1,NA,NA,31,2,998,NA,78,48.317,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","C","9","9","O","9",1,351,25
"3098",1,NA,0,160,"177H",177,173,0,2,1,0,0,0,0,0,178,12,NA,178,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,2,NA,1,NA,NA,57,NA,0,NA,78,1142.958,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,304,25
"3099",1,NA,0,151,"178F",178,115,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"T","",NA,NA,NA,NA,1,NA,1,NA,NA,31,NA,998,NA,78,257.179,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","D","","O","",1,270,25
"3100",1,NA,0,157,"179H",179,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,78,625.906,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",1,286,25
"3101",1,NA,0,168,"180F",180,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,170,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,78,134.18,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",2,291,25
"3102",3,NA,0,163,"  1H",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,120,NA,79,8.56,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",2,284,25
"3103",1,2,0,151,"  2H",2,154,0,14,14,14,15,16,14,0,154,12,12,154,1,3,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,63,0,0,79,17.103,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","H","E","W","W","N",1,263,25
