"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1909",1,NA,0,158,"118E",118,46,0,0,6,13,37,53,67,184,107,70,NA,998,4,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,300,NA,12,74.049,NA,NA,NA,NA,NA,NA,NA,NA,"F","","E","E","","W","",1,1,285,20
"1910",1,2,0,157,"118E",118,66,0,0,9,18,33,50,63,42,142,12,12,142,3,1,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,10,10,12,74.049,NA,NA,NA,NA,NA,NA,NA,NA,"Z","P","E","E","E","W","S",1,2,281,20
"1911",1,NA,0,145,"119F",119,75,0,22,7,0,0,1,8,-29,135,11,NA,135,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,320,NA,12,148.316,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",0,2,264,20
"1912",3,4,0,157,"120G",120,42,1,16,14,15,14,12,6,-63,168,72,12,168,3,1,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,54,54,350,0,12,345.754,0,2,7,3,1,0,-163,104,"L","Z","G","E","E","W","S",1,1,286,20
"1913",1,2,0,161,"120G",120,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,6,162,5,NA,NA,NA,0,0,1,NA,"B","B",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,180,180,12,345.754,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","G","E","E","E","E",0,2,285,20
"1914",1,NA,0,146,"121H",121,42,0,0,1,3,4,6,6,42,137,12,NA,137,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,12,380.204,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","W","",0,1,264,20
"1915",1,NA,0,145,"121H",121,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,998,3,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,80,NA,12,380.204,NA,NA,NA,NA,NA,NA,NA,NA,"F","","H","W","","N","",1,2,312,20
"1916",1,NA,0,142,"122J",122,116,0,114,106,91,66,43,17,0,148,12,NA,148,5,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,12,22.451,NA,NA,NA,NA,NA,NA,NA,NA,"D","","J","E","","W","",1,1,270,20
"1917",1,2,0,162,"122J",122,148,0,105,94,79,59,23,9,-2,152,12,NA,152,6,1,4,NA,0,0,2,NA,"F","R",5,NA,2,NA,1,NA,1,NA,NA,1,NA,0,NA,12,22.451,0,0,2,3,2,0,-166,97,"D","P","J","E","E","W","W",1,2,303,20
"1918",1,2,0,149,"123E",123,8,0,0,0,11,25,52,43,116,213,62,3,998,4,2,NA,NA,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,60,80,12,342.837,1,15,20,13,4,0,-123,129,"Y","Z","E","E","E","W","W",1,1,263,20
"1919",1,2,0,151,"123E",123,47,1,14,3,0,0,0,3,-43,148,71,9,148,2,3,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,340,260,12,342.837,7,23,21,12,18,0,-109,198,"Y","Z","E","E","A","W","W",1,2,272,20
"1920",2,3,0,158,"124G",124,93,1,0,10,16,20,20,8,8,150,12,6,150,1,3,NA,NA,0,0,1,NA,"F","B",NA,NA,NA,NA,1,NA,1,NA,NA,54,54,10,190,12,621.755,0,0,0,0,0,11,54,150,"D","R","G","E","E","W","E",0,1,328,20
"1921",1,NA,0,150,"125H",125,223,0,1,10,22,15,11,1,63,274,3,NA,998,2,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,80,NA,12,683.705,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","W","",1,1,272,20
"1922",1,NA,1,174,"125H",125,159,0,11,11,17,16,9,12,-5,170,11,NA,170,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,330,NA,12,683.705,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,2,318,20
"1923",1,2,0,160,"126K",126,180,0,33,30,32,35,26,24,0,180,1,3,180,2,1,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,20,90,12,78.492,NA,NA,NA,NA,NA,NA,NA,NA,"D","Y","K","E","E","W","W",1,1,364,20
"1924",1,2,0,143,"126K",126,191,0,16,28,5,26,23,4,96,191,90,9,998,3,1,NA,NA,0,0,1,NA,"L","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,310,270,12,78.492,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Z","K","A","M","W","W",1,2,263,20
